iter	RMSE
0	1.492296577
1	1.461460934
2	1.434116163
3	1.409781113
4	1.387465431
5	1.36769545
6	1.348713856
7	1.32980583
8	1.31300548
9	1.299892709
10	1.286787172
11	1.275303403
12	1.264020574
13	1.253938551
14	1.2452705
15	1.238508265
16	1.229495552
17	1.222640969
18	1.215930616
19	1.207054832
20	1.19947535
21	1.193550081
22	1.186794424
23	1.182186702
24	1.177787857
25	1.172637961
26	1.167359092
27	1.162729201
28	1.158695687
29	1.154583541
30	1.150168173
31	1.144992651
32	1.141942724
33	1.13908113
34	1.135875364
35	1.133101758
36	1.131051025
37	1.128968035
38	1.126627948
39	1.123792376
40	1.121966607
41	1.119234105
42	1.115767109
43	1.112530803
44	1.109687156
45	1.107659285
46	1.105243244
47	1.103589851
48	1.101978812
49	1.100183794
50	1.0985044
51	1.096835092
52	1.094954743
53	1.092279022
54	1.089871626
55	1.08842265
56	1.08658713
57	1.084856669
58	1.083493652
59	1.082561136
60	1.080207258
61	1.078818687
62	1.077447958
63	1.076110119
64	1.075001091
65	1.073490238
66	1.072268251
67	1.070873808
68	1.069861237
69	1.068639771
70	1.067504772
71	1.066260127
72	1.065340553
73	1.064318229
74	1.063027434
75	1.062049568
76	1.060333623
77	1.059364106
78	1.05851518
79	1.057161009
80	1.056163483
81	1.055552918
82	1.054136296
83	1.052950089
84	1.052027129
85	1.050602336
86	1.049197592
87	1.048268817
88	1.04757799
89	1.046768032
90	1.04562672
91	1.044814577
92	1.044277443
93	1.043366979
94	1.042433936
95	1.041727837
96	1.040793504
97	1.039910318
98	1.039224352
99	1.038311529
100	1.037893623
101	1.037026244
102	1.036219432
103	1.035407498
104	1.034638197
105	1.034071857
106	1.033619073
107	1.032578147
108	1.03186715
109	1.0311623
110	1.030538823
111	1.029870274
112	1.029115323
113	1.028348102
114	1.027599293
115	1.026343789
116	1.025542118
117	1.025080037
118	1.024385561
119	1.024006456
120	1.023576933
121	1.023147154
122	1.022774636
123	1.02247279
124	1.021933216
125	1.021425259
126	1.020895387
127	1.020473018
128	1.019698298
129	1.019400827
130	1.018740057
131	1.017962665
132	1.017377378
133	1.016837146
134	1.016281808
135	1.015746618
136	1.014876083
137	1.014483208
138	1.014273792
139	1.013700817
140	1.012471906
141	1.011845776
142	1.01136594
143	1.010914463
144	1.009808743
145	1.009496634
146	1.009080574
147	1.008689688
148	1.008248751
149	1.00761711
150	1.006988748
151	1.006626299
152	1.006331411
153	1.005713418
154	1.005399519
155	1.005124167
156	1.004577954
157	1.004306681
158	1.003951625
159	1.003536324
160	1.003081891
161	1.002550291
162	1.002037899
163	1.001491327
164	1.00124827
165	1.000769126
166	1.000389886
167	0.999559515
168	0.9991065497
169	0.9986042234
170	0.9980217216
171	0.9974390817
172	0.9971078577
173	0.9965934809
174	0.9959839677
175	0.9954515745
176	0.9949363116
177	0.9946500364
178	0.9941389851
179	0.9936324809
180	0.993207437
181	0.9926618606
182	0.9923558383
183	0.9919400041
184	0.9913038224
185	0.9905628596
186	0.9901105611
187	0.9896333054
188	0.9893611957
189	0.9889132502
190	0.9884970977
191	0.9882078948
192	0.9878200174
193	0.987534846
194	0.9869819043
195	0.9862627764
196	0.9858370879
197	0.9854831669
198	0.9850083615
